ID,X,Y,Elevation,Sfm 2015,LiDAR Pre,Sfm 2016,LiDAR Post,Distance (Segment),Distance (Total),Distance 3D (Segment),Distance 3D (Total),Slope (Degrees),Slope (Percent),Segment Index
1,479499.752,3282030.673,0.093,0.43,0.417,nan,0.093,0,0,0,0,nan,nan,1
2,479499.64,3282030.644,0.097,0.415,0.418,nan,0.097,0.1159,0.1159,0.116,0.116,1.7,3.00,1
3,479499.527,3282030.615,0.1,0.401,0.419,nan,0.1,0.1159,0.2318,0.116,0.2319,1.6,2.80,1
4,479499.415,3282030.587,0.103,0.387,0.421,nan,0.103,0.1159,0.3477,0.116,0.3479,1.5,2.60,1
5,479499.303,3282030.558,0.106,0.374,0.423,nan,0.106,0.1159,0.4637,0.1159,0.4638,1.4,2.40,1
6,479499.191,3282030.53,0.108,0.361,0.425,nan,0.108,0.1159,0.58,0.1159,0.58,1.2,2.20,1
7,479499.078,3282030.501,0.111,0.349,0.427,nan,0.111,0.1159,0.695,0.1159,0.696,1.1,1.90,1
8,479498.966,3282030.473,0.113,0.337,0.43,nan,0.113,0.1159,0.811,0.1159,0.812,1,1.70,1
9,479498.854,3282030.444,0.114,0.331,0.433,nan,0.114,0.1159,0.927,0.1159,0.928,0.4,0.70,1
10,479498.741,3282030.416,0.114,0.327,0.435,nan,0.114,0.1159,1.043,0.1159,1.043,0.3,0.50,1
11,479498.629,3282030.387,0.115,0.324,0.437,nan,0.115,0.1159,1.159,0.1159,1.159,0.4,0.70,1
12,479498.517,3282030.359,0.116,0.32,0.438,nan,0.116,0.1159,1.275,0.1159,1.275,0.5,0.90,1
13,479498.404,3282030.33,0.117,0.316,0.44,nan,0.117,0.1159,1.391,0.1159,1.391,0.6,1.00,1
14,479498.292,3282030.302,0.119,0.312,0.44,nan,0.119,0.1159,1.507,0.1159,1.507,0.7,1.20,1
15,479498.18,3282030.273,0.12,0.308,0.441,nan,0.12,0.1159,1.623,0.1159,1.623,0.8,1.40,1
16,479498.068,3282030.244,0.122,0.303,0.441,nan,0.122,0.1159,1.739,0.1159,1.739,0.9,1.50,1
17,479497.955,3282030.216,0.124,0.299,0.44,nan,0.124,0.1159,1.855,0.1159,1.855,1,1.70,1
18,479497.843,3282030.187,0.126,0.297,0.44,nan,0.126,0.1159,1.971,0.1159,1.971,1.1,1.90,1
